id,carat,cut,color,clarity,depth,table,x,y,z,price
8536,0.71,Very Good,D,SI2,63.3,55.0,5.72,5.65,3.6,2458
8537,0.5,Very Good,E,SI1,60.7,61.0,5.09,5.13,3.1,1354
8538,1.06,Very Good,I,SI2,62.8,56.0,6.47,6.55,4.09,4132
8539,0.9,Good,H,SI1,66.1,57.0,5.94,5.99,3.94,3282
8540,0.56,Very Good,H,VVS2,59.8,57.0,5.39,5.48,3.25,1723
8541,0.29,Ideal,G,IF,61.3,55.0,4.25,4.28,2.61,673
8542,0.5,Ideal,F,SI2,61.6,57.0,5.14,5.08,3.15,1016
8543,1.36,Ideal,G,SI1,61.0,56.0,7.17,7.2,4.38,8927
8544,0.4,Ideal,E,SI1,63.2,56.0,4.66,4.71,2.96,684
8545,0.56,Ideal,G,VVS2,62.1,56.0,5.31,5.29,3.29,2357
8546,1.08,Ideal,H,VVS1,61.8,57.0,6.55,6.59,4.06,9041
8547,1.3,Premium,I,VS2,60.3,60.0,7.01,6.99,4.22,5242
8548,0.43,Very Good,E,SI1,62.4,56.0,4.79,4.83,3.0,792
8549,0.46,Fair,F,SI1,66.3,56.0,4.86,4.79,3.2,984
8550,1.63,Very Good,H,SI1,59.8,60.0,7.64,7.68,4.58,10216
8551,0.71,Premium,E,VVS2,59.0,59.0,5.88,5.82,3.45,3380
8552,0.59,Premium,E,VS2,60.1,59.0,5.46,5.42,3.27,2578
8553,2.01,Premium,I,SI2,63.0,56.0,8.05,7.96,5.05,11312
8554,2.49,Ideal,J,SI1,63.8,54.0,8.56,8.49,5.45,16915
8555,0.39,Premium,G,VS1,61.7,62.0,4.69,4.65,2.88,951
8556,0.41,Premium,F,VS2,61.6,59.0,4.77,4.74,2.93,1107
8557,0.32,Ideal,G,VS1,61.8,55.0,4.42,4.45,2.74,559
8558,1.01,Premium,G,SI1,58.8,58.0,6.59,6.51,3.85,4395
8559,0.53,Premium,G,SI1,61.3,58.0,5.22,5.19,3.19,1273
8560,0.41,Premium,E,SI1,61.8,60.0,4.78,4.74,2.94,904
8561,0.36,Good,H,VS2,63.7,55.0,4.52,4.49,2.87,729
8562,0.91,Very Good,E,SI1,62.4,57.0,6.11,6.23,3.85,4211
8563,0.31,Premium,E,SI1,59.3,59.0,4.42,4.48,2.64,544
8564,1.05,Very Good,G,SI2,62.5,60.0,6.45,6.5,4.05,4241
8565,0.9,Very Good,D,SI1,63.5,57.0,6.15,6.11,3.89,4304
8566,2.03,Premium,J,SI2,61.6,58.0,8.12,8.15,5.01,12268
8567,2.07,Ideal,I,SI2,62.0,55.0,8.12,8.22,5.07,16189
8568,0.4,Ideal,F,VS1,61.6,55.0,4.74,4.78,2.93,917
8569,0.53,Ideal,E,VS2,62.7,54.0,5.18,5.15,3.24,1813
8570,0.7,Very Good,G,VVS2,61.8,60.0,5.63,5.69,3.5,2936
8571,1.31,Very Good,J,SI1,62.5,55.0,6.97,7.05,4.38,5382
8572,1.2,Premium,I,SI2,60.0,58.0,6.91,6.93,4.15,4989
8573,1.15,Ideal,I,VS1,62.1,55.0,6.76,6.67,4.18,5626
8574,0.55,Ideal,F,VS2,61.1,56.0,5.31,5.27,3.23,1819
8575,0.27,Premium,H,VVS2,60.7,59.0,4.21,4.19,2.55,623
8576,2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,15783
8577,1.11,Premium,H,SI1,62.5,58.0,6.64,6.61,4.14,5433
8578,0.4,Premium,D,VVS2,60.7,60.0,4.78,4.74,2.89,1323
8579,0.96,Very Good,G,VS1,60.5,63.0,6.32,6.28,3.81,4892
8580,0.52,Ideal,D,VS2,61.8,57.0,5.2,5.16,3.2,1919
8581,0.41,Very Good,I,VVS1,61.9,57.0,4.78,4.82,2.97,863
8582,0.3,Ideal,G,VVS2,62.7,57.0,4.32,4.26,2.69,878
8583,1.0,Ideal,H,VS2,62.5,58.0,6.38,6.33,3.97,4704
8584,1.25,Fair,H,SI2,64.4,58.0,6.82,6.71,4.36,3990
8585,0.77,Premium,F,SI2,62.2,58.0,5.9,5.85,3.66,2282
8586,2.0,Good,J,VS2,61.4,63.0,8.01,8.08,4.94,13542
8587,0.7,Very Good,H,SI1,59.2,59.0,5.79,5.86,3.45,2018
8588,1.5,Ideal,G,SI2,61.4,56.0,7.38,7.34,4.52,8736
8589,0.58,Ideal,F,VS1,60.4,57.0,5.42,5.37,3.26,2245
8590,1.2,Fair,I,I1,66.2,55.0,6.61,6.51,4.34,3011
8591,0.52,Ideal,D,VS2,61.9,57.0,5.14,5.17,3.19,1822
8592,1.72,Premium,H,VS2,61.3,59.0,7.69,7.72,4.72,13486
8593,1.07,Premium,G,VS2,60.1,60.0,6.76,6.6,3.99,6022
8594,1.75,Very Good,I,SI1,62.8,59.0,7.62,7.66,4.8,10635
8595,1.01,Very Good,H,SI1,60.0,58.0,6.54,6.6,3.94,4876
8596,1.08,Very Good,J,SI2,63.2,59.0,6.57,6.4,4.1,3810
8597,1.0,Good,D,SI2,62.8,61.0,6.31,6.36,3.98,4520
8598,0.9,Good,I,VVS2,64.8,55.0,6.04,6.15,3.95,3718
8599,0.7,Very Good,H,SI1,62.8,57.0,5.61,5.66,3.54,2214
8600,1.07,Premium,H,SI1,60.0,60.0,6.65,6.61,3.98,5123
8601,0.3,Ideal,F,VVS2,61.5,55.0,4.33,4.35,2.67,694
8602,1.01,Very Good,I,SI2,63.5,57.0,6.35,6.37,4.04,4244
8603,0.39,Premium,G,SI1,60.9,58.0,4.73,4.7,2.87,878
8604,1.45,Very Good,J,VS2,62.8,57.0,7.14,7.17,4.49,6671
8605,0.52,Very Good,G,VS2,62.4,60.0,5.14,5.18,3.22,1423
8606,0.4,Very Good,D,SI1,60.3,62.0,4.7,4.75,2.85,720
8607,2.13,Fair,H,SI2,64.5,58.0,8.09,8.01,5.19,13370
8608,1.2,Good,E,SI1,59.9,64.0,6.84,6.79,4.08,6653
8609,0.31,Ideal,E,VS1,61.4,57.0,4.32,4.37,2.67,734
8610,0.49,Good,F,VS1,63.6,59.0,4.95,4.92,3.14,1426
8611,0.3,Ideal,F,SI1,62.3,56.0,4.27,4.3,2.67,461
8612,0.72,Ideal,G,VS1,61.3,56.0,5.77,5.82,3.55,3102
8613,2.08,Premium,J,VS2,60.3,59.0,8.29,8.23,4.98,14933
8614,0.58,Ideal,G,SI1,61.4,55.0,5.38,5.41,3.31,1330
8615,1.51,Very Good,F,VVS1,62.6,59.0,7.33,7.24,4.56,18777
8616,0.58,Very Good,D,VS2,60.2,57.0,5.41,5.45,3.27,1977
8617,1.02,Premium,H,VS2,61.2,58.0,6.47,6.5,3.97,5217
8618,1.0,Very Good,E,VVS2,61.9,61.0,6.38,6.42,3.96,7777
8619,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1324
8620,0.58,Premium,G,SI2,61.2,59.0,5.4,5.36,3.29,1307
8621,1.51,Good,H,SI2,59.9,64.0,7.53,7.39,4.47,7340
8622,0.41,Very Good,E,VS2,62.5,56.0,4.75,4.79,2.98,960
8623,0.9,Good,E,VS1,62.2,60.0,6.12,6.16,3.82,5068
8624,1.51,Fair,H,SI2,65.4,60.0,7.06,6.96,4.6,6291
8625,0.3,Good,J,VS1,63.4,57.0,4.23,4.26,2.69,394
8626,1.09,Premium,H,VS1,60.2,61.0,6.7,6.66,4.02,5951
8627,0.4,Ideal,E,VVS2,61.1,57.0,4.77,4.79,2.92,895
8628,1.03,Premium,E,SI2,61.7,61.0,6.49,6.45,3.99,3876
8629,2.38,Premium,J,VS2,62.1,58.0,8.54,8.49,5.29,18559
8630,0.59,Ideal,D,SI1,61.4,55.0,5.41,5.43,3.33,1783
8631,0.7,Good,G,VS2,63.8,59.0,5.51,5.55,3.53,2353
8632,1.01,Good,G,SI1,63.6,57.0,6.37,6.33,4.04,4672
8633,0.7,Very Good,F,VVS1,63.1,58.0,5.6,5.66,3.55,3622
8634,0.84,Ideal,E,SI1,61.7,53.0,6.08,6.11,3.76,4068
8635,0.55,Ideal,F,VS1,61.2,56.0,5.33,5.28,3.25,2079
8636,1.1,Ideal,G,SI2,62.5,55.0,6.61,6.66,4.15,5407
8637,0.41,Premium,H,SI1,62.0,59.0,4.78,4.8,2.97,683
8638,0.34,Ideal,G,VS2,61.1,55.0,4.52,4.55,2.77,596
8639,1.01,Premium,G,SI2,62.0,58.0,6.41,6.37,3.96,4327
8640,1.51,Good,F,SI1,64.2,57.0,7.09,7.2,4.59,10514
8641,0.72,Very Good,D,VS2,62.1,59.0,5.7,5.73,3.55,3016
8642,1.0,Very Good,J,SI1,61.9,62.0,6.33,6.36,3.93,3465
8643,1.52,Very Good,J,VS2,63.3,56.0,7.33,7.27,4.62,7504
8644,0.41,Ideal,H,VS1,61.9,56.0,4.75,4.78,2.95,827
8645,1.57,Premium,F,SI1,60.4,59.0,7.57,7.54,4.56,12112
8646,0.71,Premium,F,VS1,62.7,59.0,5.7,5.62,3.55,2839
8647,1.01,Good,E,SI1,62.6,61.0,6.38,6.43,4.01,4743
8648,1.03,Premium,H,SI1,62.2,60.0,6.4,6.43,3.99,4843
8649,0.41,Premium,F,VVS2,61.6,59.0,4.73,4.79,2.93,951
8650,0.26,Very Good,F,SI1,61.4,56.0,4.13,4.16,2.54,401
8651,0.73,Premium,E,SI1,59.6,61.0,5.92,5.85,3.51,2821
8652,0.94,Good,I,SI2,63.8,60.0,6.21,6.14,3.94,3079
8653,1.18,Premium,F,SI1,62.3,59.0,6.75,6.67,4.18,6542
8654,1.05,Very Good,H,SI1,63.2,59.0,6.39,6.46,4.06,5072
8655,0.4,Very Good,G,VVS1,60.9,57.0,4.76,4.8,2.91,1123
8656,0.76,Good,D,VS1,63.7,56.0,5.81,5.77,3.69,3950
8657,0.34,Very Good,G,VVS1,59.0,62.0,4.56,4.6,2.7,835
8658,0.52,Ideal,F,VS1,62.2,55.0,5.14,5.18,3.21,1778
8659,0.93,Good,G,SI1,58.8,61.0,6.36,6.39,3.75,4405
8660,0.37,Premium,E,VS2,59.1,60.0,4.68,4.66,2.76,1041
8661,0.42,Premium,G,VVS1,62.7,58.0,4.74,4.79,2.99,1179
8662,1.51,Good,J,VS1,60.6,55.0,7.3,7.36,4.44,7848
8663,0.54,Ideal,E,SI1,61.3,56.0,5.22,5.25,3.21,1422
8664,0.31,Ideal,F,VS2,62.2,56.0,4.39,4.36,2.72,749
8665,0.52,Ideal,H,VS2,61.7,54.0,5.18,5.22,3.21,1238
8666,1.07,Premium,F,SI1,62.5,59.0,6.57,6.52,4.09,5436
8667,1.51,Very Good,I,SI1,59.3,59.0,7.49,7.59,4.47,8856
8668,1.25,Ideal,H,VS2,60.0,56.0,7.04,6.99,4.21,6944
8669,0.7,Ideal,I,VS1,63.0,54.0,5.63,5.7,3.57,2142
8670,0.91,Good,G,SI1,63.5,61.0,6.05,6.1,3.86,3776
8671,0.4,Premium,E,SI1,62.6,59.0,4.71,4.68,2.94,945
8672,0.77,Ideal,I,VVS2,62.1,55.0,5.85,5.9,3.65,2598
8673,1.2,Very Good,H,SI2,60.2,58.0,6.88,6.94,4.16,5408
8674,0.3,Premium,G,IF,60.2,58.0,4.35,4.39,2.63,895
8675,0.8,Ideal,E,SI1,62.0,57.0,5.97,5.94,3.69,3297
8676,1.0,Good,H,SI2,63.8,55.0,6.28,6.24,4.0,3640
8677,0.9,Very Good,E,VS2,62.2,59.0,6.13,6.18,3.83,4580
8678,0.51,Ideal,I,SI1,62.5,57.0,5.1,5.07,3.18,1122
8679,0.91,Very Good,E,VS2,58.4,63.0,6.31,6.32,3.69,4823
8680,0.9,Premium,G,SI1,61.0,59.0,6.29,6.17,3.8,3931
8681,0.9,Very Good,E,SI2,61.0,59.0,6.14,6.18,3.76,3584
8682,0.41,Premium,D,VVS2,61.9,59.0,4.75,4.78,2.95,1105
8683,0.91,Very Good,D,SI2,61.5,56.0,6.22,6.27,3.84,4123
8684,1.01,Very Good,G,VS2,62.4,58.0,6.42,6.4,4.0,6019
8685,0.32,Very Good,E,VVS2,62.4,56.0,4.34,4.38,2.72,744
8686,0.26,Good,D,VVS2,63.6,56.0,4.06,4.09,2.59,564
8687,1.52,Ideal,G,SI2,61.3,57.0,7.39,7.36,4.52,8852
8688,1.28,Very Good,I,SI1,63.6,54.0,6.87,6.9,4.38,5920
8689,0.5,Good,F,SI2,57.7,62.0,5.22,5.18,3.0,926
8690,1.23,Ideal,G,VS2,62.4,57.0,6.88,6.83,4.28,8233
8691,0.72,Good,E,SI2,57.9,56.0,5.93,5.85,3.41,2308
8692,1.01,Good,G,SI2,62.8,57.0,6.3,6.34,3.97,3852
8693,0.7,Premium,H,VS1,60.2,56.0,5.78,5.71,3.46,2435
8694,1.7,Ideal,I,VS1,62.2,55.0,7.67,7.63,4.76,12737
8695,0.58,Ideal,G,SI1,61.5,56.0,5.35,5.38,3.3,1690
8696,0.41,Good,G,SI1,63.4,57.0,4.7,4.73,2.99,671
8697,0.53,Ideal,H,SI1,62.4,59.0,5.18,5.21,3.24,1226
8698,1.51,Fair,H,VS2,64.9,53.0,7.28,7.24,4.71,7534
8699,0.71,Fair,H,SI1,65.1,55.0,5.69,5.65,3.69,2049
8700,0.7,Premium,G,VS2,61.6,58.0,5.69,5.73,3.52,2633
8701,1.14,Premium,I,SI1,62.2,58.0,6.7,6.67,4.16,4788
8702,0.74,Premium,G,SI2,62.8,54.0,5.76,5.73,3.61,2328
8703,0.32,Ideal,E,VS2,61.8,54.0,4.4,4.43,2.73,599
8704,1.01,Very Good,D,SI1,61.6,60.0,6.43,6.47,3.97,5443
8705,1.0,Good,D,VS2,63.1,56.0,6.36,6.4,4.02,7114
8706,0.41,Good,E,SI1,63.5,55.0,4.73,4.75,3.01,654
8707,1.51,Ideal,G,SI2,60.5,55.0,7.4,7.36,4.46,8794
8708,1.01,Fair,G,VS2,66.8,56.0,6.15,6.09,4.09,4480
8709,1.01,Premium,F,VVS2,61.8,59.0,6.46,6.42,3.98,8470
8710,1.52,Very Good,F,VS2,62.3,56.0,7.29,7.34,4.56,14412
8711,1.2,Premium,H,VS2,60.7,60.0,6.88,6.82,4.16,6250
8712,0.78,Premium,F,VS1,61.5,58.0,5.93,5.98,3.66,3446
8713,0.95,Premium,I,SI1,60.0,60.0,6.39,6.37,3.83,3878
8714,0.5,Premium,H,SI2,61.0,58.0,5.14,5.05,3.11,958
8715,1.61,Ideal,I,SI1,62.7,55.0,7.48,7.54,4.71,9439
8716,0.41,Good,D,SI1,56.5,63.0,4.98,4.94,2.8,758
8717,1.43,Ideal,E,VVS2,62.4,57.0,7.25,7.15,4.49,14429
8718,0.53,Ideal,F,SI1,61.8,56.0,5.19,5.23,3.22,1360
8719,1.1,Ideal,E,I1,61.9,56.0,6.63,6.59,4.09,3942
8720,0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,2264
8721,0.96,Ideal,G,SI2,62.1,57.0,6.32,6.27,3.91,3871
8722,0.31,Ideal,E,VVS2,61.3,55.0,4.34,4.37,2.67,864
8723,0.56,Ideal,G,VS1,60.7,57.0,5.27,5.34,3.22,1682
8724,0.51,Ideal,G,VS1,61.7,56.0,5.1,5.14,3.16,1656
8725,0.21,Premium,D,VS2,61.6,59.0,3.82,3.78,2.34,386
8726,0.9,Ideal,E,SI1,61.7,57.0,6.21,6.24,3.84,4940
8727,0.81,Ideal,G,SI1,62.6,55.0,5.97,5.94,3.73,2725
8728,1.03,Very Good,D,VS2,63.3,57.0,6.39,6.44,4.06,7102
8729,0.36,Ideal,E,VS2,60.7,56.0,4.63,4.65,2.82,738
8730,0.54,Very Good,D,VS1,63.0,54.0,5.19,5.23,3.28,2016
8731,0.72,Ideal,F,SI2,62.4,55.0,5.72,5.76,3.58,2232
8732,1.21,Very Good,H,VS2,62.1,60.0,6.77,6.83,4.22,6745
8733,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,948
8734,0.79,Ideal,G,SI1,61.6,55.0,5.96,5.98,3.68,2944
8735,1.5,Very Good,I,VS2,62.2,59.0,7.34,7.3,4.55,9611
8736,1.51,Very Good,H,VS1,61.5,54.0,7.34,7.42,4.54,10045
8737,0.4,Premium,E,VS1,61.8,55.0,4.76,4.72,2.93,1125
8738,0.8,Very Good,H,SI1,62.3,59.0,5.95,6.0,3.72,2670
8739,0.58,Ideal,G,VVS2,61.9,57.0,5.33,5.36,3.31,2132
8740,0.41,Good,F,SI1,63.7,58.0,4.74,4.71,3.01,904
8741,0.3,Very Good,H,VVS1,63.1,54.0,4.34,4.28,2.72,819
8742,0.58,Ideal,F,VVS2,61.8,56.0,5.36,5.39,3.32,2395
8743,2.02,Ideal,F,SI2,62.7,57.0,8.07,7.93,5.03,13453
8744,0.55,Ideal,G,VS2,60.1,55.0,5.33,5.37,3.22,1634
8745,0.51,Good,E,SI1,63.3,59.0,5.05,5.09,3.21,1304
8746,1.01,Good,E,SI2,63.7,58.0,6.32,6.36,4.04,4666
8747,0.85,Premium,D,SI2,58.5,60.0,6.23,6.21,3.64,3398
8748,0.31,Premium,I,VS2,61.1,58.0,4.36,4.38,2.67,435
8749,0.76,Ideal,E,SI1,62.5,57.0,5.8,5.82,3.63,3033
8750,1.01,Very Good,F,SI2,62.5,61.0,6.33,6.37,3.97,3945
8751,0.62,Premium,G,VS1,59.8,58.0,5.55,5.58,3.33,1933
8752,0.7,Premium,F,VVS2,61.0,57.0,5.8,5.71,3.51,2932
8753,1.0,Premium,H,SI2,59.6,62.0,6.52,6.41,3.85,3640
8754,0.9,Very Good,G,VS1,62.7,60.0,6.06,6.13,3.82,4540
8755,1.2,Very Good,H,SI1,63.3,57.0,6.75,6.7,4.26,5114
8756,0.73,Very Good,F,VVS2,61.9,59.0,5.72,5.84,3.58,3442
8757,1.0,Premium,G,VS2,58.6,61.0,6.61,6.57,3.86,6048
8758,0.41,Good,E,VS2,63.1,64.0,4.63,4.66,2.93,910
8759,1.01,Fair,G,VS2,67.8,59.0,6.07,6.02,4.1,5666
8760,1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,5699
8761,0.51,Premium,D,VS2,59.7,58.0,5.24,5.18,3.11,1882
8762,0.7,Premium,F,SI1,61.9,58.0,5.69,5.74,3.54,2230
8763,0.31,Ideal,G,SI2,62.0,54.0,4.38,4.42,2.73,436
8764,1.25,Premium,J,VS1,62.2,58.0,6.92,6.88,4.29,5740
8765,0.31,Premium,F,IF,61.5,58.0,4.33,4.35,2.67,979
8766,0.44,Very Good,G,VVS2,60.9,57.0,4.89,4.93,2.99,1081
8767,1.16,Very Good,H,SI2,62.8,59.0,6.7,6.64,4.19,5799
8768,0.8,Good,G,SI2,63.7,58.0,5.88,5.83,3.73,2484
8769,1.16,Very Good,G,VS1,62.9,55.0,6.65,6.74,4.21,7589
8770,0.34,Ideal,E,VVS1,62.3,56.0,4.45,4.48,2.78,1014
8771,0.55,Premium,F,SI1,60.1,58.0,5.34,5.3,3.2,1374
8772,0.56,Very Good,H,SI2,59.5,57.0,5.4,5.43,3.22,1144
8773,0.33,Ideal,D,VS2,62.5,55.0,4.41,4.45,2.77,781
8774,0.3,Ideal,H,VVS1,61.9,57.0,4.29,4.31,2.66,665
8775,0.81,Very Good,G,SI1,62.3,59.0,5.93,5.98,3.71,3095
8776,1.05,Premium,D,SI1,59.3,58.0,6.74,6.68,3.98,6174
8777,0.71,Ideal,E,SI1,61.7,56.0,5.69,5.72,3.52,2680
8778,0.6,Ideal,F,VS2,58.6,60.0,5.54,5.62,3.27,1923
8779,0.27,Ideal,E,VS1,61.6,57.0,4.12,4.16,2.55,470
8780,0.43,Ideal,E,SI1,61.5,56.0,4.9,4.85,3.0,1016
8781,0.33,Ideal,H,SI2,61.4,56.0,4.85,4.79,2.95,554
8782,0.56,Ideal,D,VS1,62.6,59.0,5.24,5.31,3.3,2170
8783,1.0,Good,H,VS2,63.6,57.0,6.35,6.26,4.01,4305
8784,0.32,Ideal,E,VS2,62.0,57.0,4.41,4.37,2.72,900
8785,1.0,Good,G,VS1,63.6,59.0,6.3,6.34,4.02,6349
8786,2.11,Very Good,I,SI1,62.4,53.0,8.17,8.27,5.13,14740
8787,0.9,Premium,J,SI1,61.8,58.0,6.16,6.13,3.8,2873
8788,0.26,Ideal,E,VVS1,61.7,56.0,4.09,4.11,2.53,635
8789,0.35,Very Good,G,VS1,62.6,56.0,4.49,4.52,2.82,659
8790,1.25,Ideal,E,VS2,60.7,56.0,6.97,6.99,4.24,11422
8791,0.7,Premium,F,VS2,61.7,58.0,5.69,5.63,3.49,2838
8792,1.03,Good,I,I1,57.9,59.0,6.67,6.62,3.85,2540
8793,0.31,Good,I,VS1,63.9,55.0,4.3,4.28,2.74,586
8794,0.38,Very Good,D,VS2,63.4,55.0,4.67,4.63,2.95,1117
8795,0.71,Ideal,J,SI1,61.4,56.0,5.75,5.78,3.54,1940
8796,0.51,Premium,J,VS2,61.5,58.0,5.14,5.1,3.15,1020
8797,1.01,Very Good,F,SI2,62.8,60.0,6.33,6.4,4.0,4416
8798,0.54,Ideal,G,SI1,61.9,55.0,5.24,5.26,3.25,1736
8799,0.51,Ideal,D,VS2,62.3,55.0,5.12,5.19,3.21,1787
8800,0.72,Premium,I,VS2,61.1,61.0,5.79,5.74,3.52,1991
8801,0.31,Ideal,D,VVS2,61.9,56.0,4.39,4.37,2.71,982
8802,1.15,Premium,I,VS2,62.6,56.0,6.74,6.67,4.2,5120
8803,2.01,Good,H,SI1,63.2,58.0,7.93,7.98,5.03,15919
8804,0.38,Ideal,G,VS2,61.5,54.4,4.65,4.7,2.88,768
8805,1.0,Good,I,SI1,65.6,56.0,6.23,6.3,4.11,4042
8806,1.51,Ideal,H,VS2,60.6,57.0,7.46,7.45,4.52,11540
8807,0.42,Ideal,I,VVS1,60.2,57.0,4.88,4.85,2.93,945
8808,0.87,Ideal,E,SI1,61.5,57.0,6.12,6.15,3.77,5112
8809,0.51,Ideal,G,VVS1,62.8,53.0,5.09,5.14,3.21,1810
8810,0.91,Premium,G,VS1,62.2,58.0,6.22,6.12,3.85,4459
8811,0.32,Ideal,E,VS2,61.6,55.0,4.41,4.42,2.72,702
8812,0.7,Very Good,F,SI1,59.1,59.0,5.76,5.91,3.45,2278
8813,0.41,Very Good,D,VS1,63.4,56.0,4.7,4.76,3.0,991
8814,1.02,Premium,F,I1,59.6,59.0,6.51,6.45,3.87,2452
8815,0.43,Premium,G,VS2,59.1,60.0,4.93,4.88,2.9,1113
8816,1.26,Very Good,D,SI1,59.9,59.0,7.02,7.14,4.24,7785
8817,0.71,Very Good,E,SI1,62.9,57.0,5.66,5.7,3.57,2573
8818,0.96,Fair,H,I1,60.1,62.0,6.21,6.0,3.68,1808
8819,0.71,Ideal,E,VS2,61.6,57.0,5.71,5.79,3.54,3112
8820,2.01,Ideal,I,SI1,62.4,54.0,8.04,7.96,5.0,12617
8821,0.71,Very Good,F,SI2,61.6,59.0,5.7,5.76,3.53,2326
8822,0.39,Ideal,E,VVS1,60.4,56.0,4.76,4.78,2.88,1179
8823,1.23,Ideal,I,SI1,62.0,57.0,6.91,6.87,4.27,5855
8824,0.31,Premium,G,SI2,61.8,59.0,4.34,4.3,2.67,523
8825,0.43,Very Good,F,VS1,62.2,61.0,4.75,4.83,2.98,1056
8826,0.72,Premium,D,SI1,62.6,59.0,5.74,5.7,3.58,2732
8827,1.5,Good,J,SI2,63.6,58.0,7.18,7.25,4.59,6306
8828,1.21,Premium,F,VS2,61.5,57.0,6.81,6.74,4.17,8877
8829,1.06,Ideal,G,SI1,62.0,56.0,6.52,6.55,4.05,5159
8830,1.69,Very Good,J,I1,60.2,61.0,7.7,7.79,4.66,5182
8831,0.7,Ideal,E,VS2,61.5,54.0,5.7,5.75,3.52,2835
8832,2.0,Very Good,E,SI2,63.1,53.0,7.99,8.11,5.08,16380
8833,1.16,Ideal,G,SI2,61.6,55.0,6.78,6.8,4.18,5078
8834,1.2,Very Good,F,VS2,61.8,58.0,6.75,6.78,4.18,9007
8835,1.01,Ideal,E,SI2,62.2,54.0,6.39,6.43,3.99,4666
8836,1.21,Premium,G,SI2,60.9,59.0,6.87,6.82,4.17,4472
8837,0.31,Premium,E,VVS2,61.4,58.0,4.33,4.36,2.67,816
8838,0.3,Good,G,VS2,63.1,57.0,4.24,4.28,2.69,526
8839,1.01,Fair,H,SI2,64.9,56.0,6.33,6.25,4.08,4129
8840,0.41,Good,G,SI1,64.3,54.0,4.68,4.72,3.02,646
8841,0.34,Premium,H,VS1,61.3,56.0,4.53,4.48,2.76,765
8842,0.3,Ideal,D,VS1,61.0,57.0,4.32,4.31,2.63,835
8843,0.5,Premium,F,SI2,59.9,60.0,5.22,5.16,3.11,1125
8844,0.31,Premium,F,SI2,63.0,58.0,4.36,4.34,2.74,523
8845,0.9,Good,G,SI2,63.8,56.0,6.16,6.13,3.92,3246
8846,0.75,Premium,D,SI2,60.6,56.0,5.94,5.9,3.59,2337
8847,0.9,Good,E,SI1,60.4,58.0,6.12,6.24,3.73,4147
8848,0.51,Premium,F,SI2,58.1,59.0,5.26,5.24,3.05,1052
8849,1.12,Ideal,G,I1,60.3,57.0,6.8,6.73,4.08,3945
8850,0.62,Premium,G,SI2,60.2,61.0,5.49,5.44,3.29,1345
8851,0.3,Ideal,G,VS1,62.0,54.0,4.3,4.35,2.68,605
8852,0.25,Premium,H,VVS1,59.8,59.0,4.07,4.09,2.44,450
8853,0.71,Good,G,SI2,58.2,64.0,5.82,5.77,3.37,1902
8854,0.35,Premium,G,VS1,61.5,58.0,4.54,4.5,2.78,906
8855,1.01,Ideal,G,VVS2,61.6,54.0,6.51,6.55,4.02,8662
8856,0.4,Premium,E,VS2,62.2,59.0,4.74,4.71,2.94,975
8857,1.97,Very Good,H,VS2,62.9,59.0,7.9,8.01,5.0,17377
8858,1.2,Ideal,H,SI1,61.9,56.0,6.78,6.82,4.21,6578
8859,1.19,Ideal,D,VVS2,62.0,57.0,6.86,6.76,4.22,12912
8860,0.76,Ideal,D,SI1,62.0,57.0,5.88,5.92,3.66,3306
8861,0.5,Ideal,F,VVS1,61.0,57.0,5.13,5.16,3.14,2165
8862,0.58,Good,E,SI1,61.0,62.0,5.36,5.33,3.26,1844
8863,0.32,Premium,I,IF,60.3,58.0,4.45,4.41,2.67,864
8864,1.01,Ideal,G,VS2,61.9,56.0,6.42,6.46,3.99,6439
8865,1.03,Ideal,H,I1,61.5,57.0,6.52,6.48,4.0,3230
8866,0.4,Ideal,D,VS2,60.4,56.0,4.73,4.77,2.87,982
8867,1.0,Very Good,E,VS2,62.9,59.0,6.27,6.38,3.98,6245
8868,0.42,Premium,E,VS1,59.5,59.0,4.88,4.86,2.9,1181
8869,0.32,Good,E,SI1,63.1,54.0,4.37,4.41,2.77,524
8870,0.42,Ideal,G,VS1,62.0,55.0,4.83,4.78,2.98,984
8871,0.32,Ideal,G,SI1,60.9,57.0,4.46,4.44,2.71,612
8872,0.86,Ideal,H,SI2,61.8,55.0,6.12,6.14,3.79,2892
8873,0.82,Good,J,SI1,57.4,59.0,6.25,6.19,3.57,2140
8874,0.31,Ideal,D,VS2,61.5,56.0,4.35,4.37,2.68,734
8875,0.38,Ideal,D,VS1,62.4,56.0,4.64,4.68,2.91,1095
8876,0.52,Ideal,D,SI2,61.7,55.0,5.17,5.2,3.2,1292
8877,0.35,Ideal,E,SI1,61.0,57.0,4.57,4.54,2.78,788
8878,1.28,Very Good,G,VVS1,60.3,59.0,6.99,7.03,4.23,11214
8879,1.0,Premium,D,SI2,62.2,61.0,6.36,6.3,3.94,4626
8880,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,743
8881,0.34,Good,H,VS2,63.3,56.0,4.39,4.45,2.8,537
